art_nombre,art_vr_reposicion,cco_nombre,predevolucion,estado
Equipo_multi,204000,BODEGA METALMEGA,0,Bueno
Equipo_multi,40000,BODEGA METALMEGA,0,Bueno
Equipo_multi,2000,BODEGA METALMEGA,0,Bueno
Equipo_multi,90000,BODEGA METALMEGA,0,Bueno
Equipo_multi,164000,BODEGA METALMEGA,0,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Equipo_Electronico,4000000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Formaleta,200000,FSCR,0,Bueno
Formaleta,25000,BODEGA METALMEGA,0,Malo
Formaleta,30000,BODEGA METALMEGA,0,Malo
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Formaleta,30000,BODEGA METALMEGA,0,Bueno
Andamios,0,HCH COLOMBIA,1,Bueno
Andamios,0,HCH COLOMBIA,1,Bueno
Andamios,500000,HCH COLOMBIA,1,Bueno
Andamios,400000,HCH COLOMBIA,1,Bueno
Andamios,450000,HCH COLOMBIA,1,Bueno
Herramienta,120000,HCH COLOMBIA,1,Bueno
Equipo_multi,70000,HCH COLOMBIA,1,Bueno
Formaleta,200000,HCH COLOMBIA,1,Malo
Andamios,2000,HCH COLOMBIA,1,Malo
Equipo_Electronico,4000000,HCH COLOMBIA,1,Bueno
Equipo_multi,150000,HCH COLOMBIA,1,Bueno
Equipo_multi,220000,HCH COLOMBIA,1,Bueno
Equipo_multi,425500,HCH COLOMBIA,1,Bueno
Herramienta,450000,HCH COLOMBIA,1,Bueno
Andamios,4500,HCH COLOMBIA,1,Bueno
Equipo_multi,130000,HCH COLOMBIA,1,Bueno
Equipo_multi,204000,HCH COLOMBIA,1,Bueno
Equipo_multi,75900,HCH COLOMBIA,1,Bueno
Equipo_multi,40000,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Malo
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_Electronico,7300000,HCH COLOMBIA,1,Bueno
Equipo_multi,297000,HCH COLOMBIA,1,Malo
Formaleta,180000,HCH COLOMBIA,1,Malo
Formaleta,320000,HCH COLOMBIA,1,Bueno
Equipo_multi,2000,HCH COLOMBIA,1,Malo
Equipo_multi,90000,HCH COLOMBIA,1,Bueno
Equipo_multi,96000,HCH COLOMBIA,1,Bueno
Equipo_multi,164000,HCH COLOMBIA,1,Bueno
Formaleta,240000,BODEGA METALMEGA,0,Bueno
Andamios,2000,DEPOSITO JAZA,0,Bueno
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Malo
Formaleta,30000,BODEGA METALMEGA,0,Malo
Andamios,2000,DEPOSITO JAZA,0,Bueno
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Bueno
Andamios,2000,DEPOSITO JAZA,0,Bueno
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Bueno
Formaleta,200000,BODEGA METALMEGA,0,Malo
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Equipo_Electronico,3000000,FSCR,0,Bueno
Herramienta,150000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Formaleta,180000,DEPOSITO JAZA,0,Malo
Formaleta,25000,DEPOSITO JAZA,0,Malo
Formaleta,200000,BODEGA METALMEGA,0,Malo
Formaleta,180000,BODEGA METALMEGA,0,Malo
Herramienta,150000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5000000,FSCR,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Andamios,2000,AMATISTA LIVING,1,Malo
Herramienta,150000,AMATISTA LIVING,1,Bueno
Herramienta,260000,AMATISTA LIVING,1,Bueno
Andamios,150000,AMATISTA LIVING,1,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,1,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,1,Bueno
Andamios,80000,AMATISTA LIVING,1,Bueno
Herramienta,1500000,FRANCI ELENA VALENCIA FERNANDEZ,1,Bueno
Herramienta,150000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Andamios,2000,DEPOSITO JAZA,0,Bueno
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Bueno
Formaleta,200000,BODEGA METALMEGA,0,Bueno
Formaleta,180000,BODEGA METALMEGA,0,Malo
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Herramienta,150000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Andamios,0,HCH COLOMBIA,1,Bueno
Andamios,0,HCH COLOMBIA,1,Bueno
Andamios,500000,HCH COLOMBIA,1,Bueno
Andamios,400000,HCH COLOMBIA,1,Bueno
Andamios,450000,HCH COLOMBIA,1,Bueno
Herramienta,120000,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_multi,70000,HCH COLOMBIA,1,Bueno
Formaleta,200000,HCH COLOMBIA,1,Malo
Andamios,2000,HCH COLOMBIA,1,Bueno
Equipo_Electronico,4000000,HCH COLOMBIA,1,Bueno
Equipo_multi,150000,HCH COLOMBIA,1,Bueno
Equipo_multi,220000,HCH COLOMBIA,1,Bueno
Equipo_multi,2800000,HCH COLOMBIA,1,Malo
Equipo_multi,2800000,HCH COLOMBIA,1,Bueno
Equipo_multi,425500,HCH COLOMBIA,1,Bueno
Herramienta,450000,HCH COLOMBIA,1,Bueno
Andamios,4500,HCH COLOMBIA,1,Malo
Equipo_multi,130000,HCH COLOMBIA,1,Bueno
Equipo_multi,204000,HCH COLOMBIA,1,Bueno
Equipo_multi,75900,HCH COLOMBIA,1,Bueno
Equipo_multi,40000,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_multi,0,HCH COLOMBIA,1,Bueno
Equipo_Electronico,7300000,HCH COLOMBIA,1,Bueno
Equipo_multi,297000,HCH COLOMBIA,1,Bueno
Formaleta,180000,HCH COLOMBIA,1,Malo
Formaleta,320000,HCH COLOMBIA,1,Malo
Equipo_multi,2000,HCH COLOMBIA,1,Bueno
Equipo_multi,90000,HCH COLOMBIA,1,Bueno
Equipo_multi,96000,HCH COLOMBIA,1,Bueno
Equipo_multi,164000,HCH COLOMBIA,1,Bueno
Equipo_Electronico,1800000,HCH COLOMBIA,1,Bueno
Equipo_multi,70000,FSCR,0,Bueno
Andamios,2000,FSCR,0,Bueno
Equipo_multi,150000,FSCR,0,Bueno
Equipo_multi,98900,FSCR,0,Bueno
Equipo_multi,130000,FSCR,0,Bueno
Equipo_multi,75900,FSCR,0,Bueno
Equipo_multi,40000,FSCR,0,Bueno
Equipo_multi,0,FSCR,0,Bueno
Equipo_multi,2000,FSCR,0,Bueno
Equipo_multi,90000,FSCR,0,Bueno
Equipo_multi,164000,FSCR,0,Bueno
Andamios,2000,AMATISTA LIVING,1,Malo
Andamios,150000,AMATISTA LIVING,1,Bueno
Andamios,80000,AMATISTA LIVING,1,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Formaleta,180000,DEPOSITO JAZA,0,Malo
Andamios,80000,DEPOSITO JAZA,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Tableros_Modulares,170000,BODEGA METALMEGA,0,Bueno
Formaleta,30000,BODEGA METALMEGA,0,Malo
Herramienta,100000,AMATISTA LIVING,0,Bueno
Formaleta,25000,BODEGA METALMEGA,0,Malo
Formaleta,30000,BODEGA METALMEGA,0,Malo
Equipo_Electronico,800000,FSCR,0,Bueno
Equipo_Electronico,1800000,AMATISTA LIVING,0,Bueno
Tableros_Modulares,90000,BODEGA METALMEGA,0,Malo
Tableros_Modulares,170000,BODEGA METALMEGA,0,Bueno
Andamios,0,EBENEZER CONSTRUCCIONES SAS,1,Bueno
